tick,em_at_tick_start,em_after_update,eff_input,event
1,0.500000,0.500000,-,idle
2,0.500000,0.500000,-,idle
3,0.500000,0.500000,-,idle
4,0.500000,0.500000,-,idle
5,0.500000,0.500000,-,idle
6,0.500000,0.500000,-,idle
7,0.500000,0.500000,-,idle
8,0.500000,0.500000,-,idle
9,0.500000,0.500000,-,idle
10,0.500000,0.500000,-,idle
11,0.500000,0.500000,-,idle
12,0.500000,0.500000,-,idle
13,0.500000,0.500000,-,idle
14,0.500000,0.500000,-,idle
15,0.500000,0.575000,1.0000,INTERACT
16,0.575000,0.575000,-,idle
17,0.575000,0.575000,-,idle
18,0.575000,0.575000,-,idle
19,0.575000,0.575000,-,idle
20,0.575000,0.575000,-,idle
21,0.575000,0.575000,-,idle
22,0.575000,0.575000,-,idle
23,0.575000,0.575000,-,idle
24,0.575000,0.575000,-,idle
25,0.575000,0.575000,-,idle
26,0.575000,0.575000,-,idle
27,0.575000,0.575000,-,idle
28,0.575000,0.575000,-,idle
29,0.575000,0.575000,-,idle
30,0.575000,0.638750,1.0000,INTERACT
31,0.638750,0.638750,-,idle
32,0.638750,0.638750,-,idle
33,0.638750,0.542937,0.0000,INTERACT
34,0.542937,0.542937,-,idle
35,0.542937,0.542937,-,idle
36,0.542937,0.461497,0.0000,INTERACT
37,0.461497,0.461497,-,idle
38,0.461497,0.392272,0.0000,INTERACT
39,0.392272,0.392272,-,idle
40,0.392272,0.333432,0.0000,INTERACT
41,0.333432,0.333432,-,idle
42,0.333432,0.283417,0.0000,INTERACT
43,0.283417,0.283417,-,idle
44,0.283417,0.240904,0.0000,INTERACT
45,0.240904,0.204783,0.0001,INTERACT
46,0.204783,0.174066,0.0000,INTERACT
47,0.174066,0.174066,-,idle
48,0.174066,0.147956,0.0000,INTERACT
49,0.147956,0.147956,-,idle
50,0.147956,0.125762,0.0000,INTERACT
51,0.125762,0.125762,-,idle
52,0.125762,0.106898,0.0000,INTERACT
53,0.106898,0.106898,-,idle
54,0.106898,0.090863,0.0000,INTERACT
55,0.090863,0.090863,-,idle
56,0.090863,0.077234,0.0000,INTERACT
57,0.077234,0.077234,-,idle
58,0.077234,0.065649,0.0000,INTERACT
59,0.065649,0.065649,-,idle
60,0.065649,0.055801,0.0000,INTERACT
61,0.055801,0.055801,-,idle
62,0.055801,0.047431,0.0000,INTERACT
63,0.047431,0.047431,-,idle
64,0.047431,0.040317,0.0000,INTERACT
65,0.040317,0.040317,-,idle
66,0.040317,0.034269,0.0000,INTERACT
67,0.034269,0.034269,-,idle
68,0.034269,0.029129,0.0000,INTERACT
69,0.029129,0.029129,-,idle
70,0.029129,0.024759,0.0000,INTERACT
71,0.024759,0.024759,-,idle
72,0.024759,0.021045,0.0000,INTERACT
73,0.021045,0.021045,-,idle
74,0.021045,0.017889,0.0000,INTERACT
75,0.017889,0.165205,1.0000,INTERACT
76,0.165205,0.140425,0.0000,INTERACT
77,0.140425,0.140425,-,idle
78,0.140425,0.119361,0.0000,INTERACT
79,0.119361,0.119361,-,idle
80,0.119361,0.101457,0.0000,INTERACT
81,0.101457,0.101457,-,idle
82,0.101457,0.086238,0.0000,INTERACT
83,0.086238,0.086238,-,idle
84,0.086238,0.073302,0.0000,INTERACT
85,0.073302,0.073302,-,idle
86,0.073302,0.062307,0.0000,INTERACT
87,0.062307,0.062307,-,idle
88,0.062307,0.052961,0.0000,INTERACT
89,0.052961,0.052961,-,idle
90,0.052961,0.195017,1.0000,INTERACT
91,0.195017,0.165764,0.0000,INTERACT
92,0.165764,0.165764,-,idle
93,0.165764,0.140900,0.0000,INTERACT
94,0.140900,0.140900,-,idle
95,0.140900,0.119765,0.0000,INTERACT
96,0.119765,0.119765,-,idle
97,0.119765,0.101800,0.0000,INTERACT
98,0.101800,0.101800,-,idle
99,0.101800,0.086530,0.0000,INTERACT
100,0.086530,0.086530,-,idle
101,0.086530,0.073551,0.0000,INTERACT
102,0.073551,0.073551,-,idle
103,0.073551,0.062518,0.0000,INTERACT
104,0.062518,0.062518,-,idle
105,0.062518,0.086401,0.2217,INTERACT
106,0.086401,0.073441,0.0000,INTERACT
107,0.073441,0.073441,-,idle
108,0.073441,0.062424,0.0000,INTERACT
109,0.062424,0.062424,-,idle
110,0.062424,0.053061,0.0000,INTERACT
111,0.053061,0.053061,-,idle
112,0.053061,0.045102,0.0000,INTERACT
113,0.045102,0.045102,-,idle
114,0.045102,0.038336,0.0000,INTERACT
115,0.038336,0.038336,-,idle
116,0.038336,0.032586,0.0000,INTERACT
117,0.032586,0.032586,-,idle
118,0.032586,0.027698,0.0000,INTERACT
119,0.027698,0.027698,-,idle
120,0.027698,0.023543,-0.4138,INTERACT
121,0.023543,0.020012,0.0000,INTERACT
122,0.020012,0.020012,-,idle
123,0.020012,0.017010,0.0000,INTERACT
124,0.017010,0.017010,-,idle
125,0.017010,0.014459,0.0000,INTERACT
126,0.014459,0.014459,-,idle
127,0.014459,0.012290,0.0000,INTERACT
128,0.012290,0.012290,-,idle
129,0.012290,0.010446,0.0000,INTERACT
130,0.010446,0.010446,-,idle
131,0.010446,0.008879,0.0000,INTERACT
132,0.008879,0.008879,-,idle
133,0.008879,0.007547,0.0000,INTERACT
134,0.007547,0.007547,-,idle
135,0.007547,0.006415,0.0000,INTERACT
136,0.006415,0.006415,-,idle
137,0.006415,0.005453,0.0000,INTERACT
138,0.005453,0.005453,-,idle
139,0.005453,0.004635,0.0000,INTERACT
140,0.004635,0.004635,-,idle
141,0.004635,0.003940,0.0000,INTERACT
142,0.003940,0.003940,-,idle
143,0.003940,0.003349,0.0000,INTERACT
144,0.003349,0.003349,-,idle
145,0.003349,0.002847,0.0000,INTERACT
146,0.002847,0.002847,-,idle
147,0.002847,0.002420,0.0000,INTERACT
148,0.002420,0.002420,-,idle
149,0.002420,0.002057,0.0000,INTERACT
150,0.002057,0.151748,2.2586,INTERACT
151,0.151748,0.151748,-,idle
152,0.151748,0.128986,0.0000,INTERACT
153,0.128986,0.128986,-,idle
154,0.128986,0.109638,0.0000,INTERACT
155,0.109638,0.109638,-,idle
156,0.109638,0.093192,0.0000,INTERACT
157,0.093192,0.093192,-,idle
158,0.093192,0.079213,0.0000,INTERACT
159,0.079213,0.079213,-,idle
160,0.079213,0.067331,0.0000,INTERACT
161,0.067331,0.067331,-,idle
162,0.067331,0.057232,0.0000,INTERACT
163,0.057232,0.057232,-,idle
164,0.057232,0.048647,0.0000,INTERACT
165,0.048647,0.069204,0.1857,INTERACT
166,0.069204,0.058824,0.0000,INTERACT
167,0.058824,0.058824,-,idle
168,0.058824,0.050000,0.0000,INTERACT
169,0.050000,0.050000,-,idle
170,0.050000,0.042500,0.0000,INTERACT
171,0.042500,0.042500,-,idle
172,0.042500,0.036125,0.0000,INTERACT
173,0.036125,0.036125,-,idle
174,0.036125,0.030706,0.0000,INTERACT
175,0.030706,0.030706,-,idle
176,0.030706,0.026100,0.0000,INTERACT
177,0.026100,0.026100,-,idle
178,0.026100,0.022185,0.0000,INTERACT
179,0.022185,0.022185,-,idle
180,0.022185,0.168857,1.0000,INTERACT
181,0.168857,0.143529,0.0000,INTERACT
182,0.143529,0.143529,-,idle
183,0.143529,0.122000,0.0000,INTERACT
184,0.122000,0.122000,-,idle
185,0.122000,0.103700,0.0000,INTERACT
186,0.103700,0.103700,-,idle
187,0.103700,0.088145,0.0000,INTERACT
188,0.088145,0.088145,-,idle
189,0.088145,0.074923,0.0000,INTERACT
190,0.074923,0.074923,-,idle
191,0.074923,0.063685,0.0000,INTERACT
192,0.063685,0.063685,-,idle
193,0.063685,0.054132,0.0000,INTERACT
194,0.054132,0.054132,-,idle
195,0.054132,0.149653,0.6909,INTERACT
196,0.149653,0.127205,0.0000,INTERACT
197,0.127205,0.127205,-,idle
198,0.127205,0.108124,0.0000,INTERACT
199,0.108124,0.108124,-,idle
200,0.108124,0.091906,0.0000,INTERACT
201,0.091906,0.091906,-,idle
202,0.091906,0.078120,0.0000,INTERACT
203,0.078120,0.078120,-,idle
204,0.078120,0.066402,0.0000,INTERACT
205,0.066402,0.066402,-,idle
206,0.066402,0.056442,0.0000,INTERACT
207,0.056442,0.056442,-,idle
208,0.056442,0.047975,0.0000,INTERACT
209,0.047975,0.047975,-,idle
210,0.047975,0.190779,1.5644,INTERACT
211,0.190779,0.190779,-,idle
212,0.190779,0.162162,0.0000,INTERACT
213,0.162162,0.162162,-,idle
214,0.162162,0.137838,0.0000,INTERACT
215,0.137838,0.137838,-,idle
216,0.137838,0.117162,0.0000,INTERACT
217,0.117162,0.117162,-,idle
218,0.117162,0.099588,0.0000,INTERACT
219,0.099588,0.099588,-,idle
220,0.099588,0.084650,0.0000,INTERACT
221,0.084650,0.084650,-,idle
222,0.084650,0.071952,0.0000,INTERACT
223,0.071952,0.071952,-,idle
224,0.071952,0.061159,0.0000,INTERACT
225,0.061159,0.201985,2.2481,INTERACT
226,0.201985,0.201985,-,idle
227,0.201985,0.171688,0.0000,INTERACT
228,0.171688,0.171688,-,idle
229,0.171688,0.145934,0.0000,INTERACT
230,0.145934,0.145934,-,idle
231,0.145934,0.124044,0.0000,INTERACT
232,0.124044,0.124044,-,idle
233,0.124044,0.105438,0.0000,INTERACT
234,0.105438,0.105438,-,idle
235,0.105438,0.089622,0.0000,INTERACT
236,0.089622,0.089622,-,idle
237,0.089622,0.076179,0.0000,INTERACT
238,0.076179,0.076179,-,idle
239,0.076179,0.064752,0.0000,INTERACT
240,0.064752,0.061460,0.0428,INTERACT
241,0.061460,0.052241,0.0000,INTERACT
242,0.052241,0.052241,-,idle
243,0.052241,0.044405,0.0000,INTERACT
244,0.044405,0.044405,-,idle
245,0.044405,0.037744,0.0000,INTERACT
246,0.037744,0.037744,-,idle
247,0.037744,0.032083,0.0000,INTERACT
248,0.032083,0.032083,-,idle
249,0.032083,0.027270,0.0000,INTERACT
250,0.027270,0.027270,-,idle
251,0.027270,0.023180,0.0000,INTERACT
252,0.023180,0.023180,-,idle
253,0.023180,0.019703,0.0000,INTERACT
254,0.019703,0.019703,-,idle
255,0.019703,0.026001,0.0617,INTERACT
256,0.026001,0.022101,0.0000,INTERACT
257,0.022101,0.022101,-,idle
258,0.022101,0.018786,0.0000,INTERACT
259,0.018786,0.018786,-,idle
260,0.018786,0.015968,0.0000,INTERACT
261,0.015968,0.015968,-,idle
262,0.015968,0.013573,0.0000,INTERACT
263,0.013573,0.013573,-,idle
264,0.013573,0.011537,0.0000,INTERACT
265,0.011537,0.011537,-,idle
266,0.011537,0.009806,0.0000,INTERACT
267,0.009806,0.009806,-,idle
268,0.009806,0.008335,0.0000,INTERACT
269,0.008335,0.008335,-,idle
270,0.008335,0.157085,1.0172,INTERACT
271,0.157085,0.157085,-,idle
272,0.157085,0.133522,0.0000,INTERACT
273,0.133522,0.133522,-,idle
274,0.133522,0.113494,0.0000,INTERACT
275,0.113494,0.113494,-,idle
